"V1" "V2" "V3" "v4" "V5" "V6"
16.01 2.59 11 5744 706 3062
12.97 2.47 14 5053 495 1952
22.89 1.89 17 5340 688 2842
17.05 2.48 13 5414 728 2768
18.48 2.29 20 3915 542 1952
18.51 2.75 14 5721 685 2787
14.84 2.47 9 8960 799 3486
19.21 2.74 12 5990 766 3376
14.63 2.99 16 4245 482 1897
23.49 1.72 26 2991 437 1890
17.45 1.76 12 6555 738 3243
17.58 2.74 13 5991 675 2828
15.99 1.58 12 6735 823 2975
20.71 2.66 24 3600 432 1807
18.32 2.18 23 3026 395 1647
19.05 1.92 20 3183 598 2163
20.62 3.05 55 1460 156 774
19.93 2.53 13 5852 912 3449
19.94 2.44 20 4044 433 2058
19.41 1.87 14 6068 778 3112
19.68 2.4 17 4203 549 2389
18.83 2.48 15 5076 696 2818
20.59 2.91 27 3020 390 1579
20.56 2.09 13 5875 776 3542
18.49 2.52 26 2968 380 1473
18.75 2.82 19 4048 454 2209
19.56 2.51 22 3406 495 1844
14.56 2.17 18 3790 358 1820
17.08 1.76 23 2948 401 1550
22.9 3.02 15 5852 752 3501
20.38 2.33 25 3017 411 1724
16.54 2.56 11 14591 776 3296
20.02 2.54 19 4213 537 2200
15.82 1.83 16 4504 483 2223
16.68 2.67 16 4706 507 2182
16.44 2.32 17 4500 540 2175
19.23 2.29 22 3559 449 1831
19.88 2.44 14 5983 725 3277
12.92 2.24 21 4300 331 1381
14.54 3.1 11 6736 666 2900
19.27 2.13 21 7380 492 1823
15.39 2.01 13 5935 572 2602
16.55 2.01 10 7116 856 3530
20.47 2.23 20 4137 560 2246
19.12 2.45 15 5608 558 2725
17.4 2.76 11 7358 783 3322
12.42 2.31 9 7627 695 2901
15.38 2.65 14 5280 530 2310
19.3 2.17 14 6098 608 2867
16.74 2.3 13 5409 651 2672
23.54 2.64 24 3332 514 2159
16.59 2.75 19 3881 486 1829
20.34 2.56 25 3521 423 1692
19 2.67 21 3620 472 1878
21.26 2.42 28 2608 428 1577
15.68 7.65 28 2533 421 1182
16.73 5.53 18 3950 595 1986
17.09 8.1 19 3657 608 2057
21.01 7.51 19 4118 795 2364
17.57 8.24 14 5781 940 3130
18.21 7.59 26 2878 551 1558
18.95 8.6 32 4884 424 1275
18.39 7.97 36 4308 373 1047
14.81 7.73 24 3210 525 1554
21.66 8.2 40 1782 416 1157
18.16 7.73 18 8187 725 2220
20.04 8.13 30 2414 470 1429
15.64 7.71 21 3563 631 1737
18.16 5.94 31 2286 422 1252
18.63 7.63 23 3336 714 1888
19.72 8.2 34 2176 396 1232
17.78 7.57 15 4812 842 2759
13.69 7.8 32 2364 333 911
19.06 5.08 27 2567 569 1643
18.27 10.22 37 2006 387 1050
16.15 7.74 30 2658 458 1317
17.98 5.91 30 2198 457 1289
18.53 7.42 25 6187 556 1649
15.5 7.94 31 2487 429 1252
19.03 5.25 34 2231 423 1293
16.74 8.28 27 2460 471 1336
15.5 7.71 20 3342 591 1793
19.39 7.72 25 3007 536 1661
19.86 6.68 38 2032 438 1208
20.07 8.01 32 2376 446 1343
17.18 5.59 26 2707 511 1525
18.9 5.24 32 2400 426 1270
18.04 7.61 23 3253 660 1826
18.09 8.2 31 2305 489 1256
16.97 5.92 20 8034 572 1802
20.42 5.26 30 2392 502 1482
17.72 5.92 32 2280 441 1432
19.03 8.03 29 2477 461 1430
18.42 5.1 27 5853 503 1417
15.16 9.79 17 4320 715 1879
17.71 5.06 21 3457 610 1778
16.35 7.08 23 3376 506 1501
19.6 7.4 25 2878 586 1675
20.23 7.42 24 6227 658 1759
18.05 5.46 29 2640 514 1314
18.15 6.93 29 5532 534 1357
19.7 6.86 28 5649 482 1447
19.12 8.62 27 2676 516 1495
20.46 5.77 49 1674 333 868
21.88 5.93 48 3149 375 951
19.62 3.86 41 1627 377 999
21.1 6.87 43 1662 418 1027
14.76 6.8 38 1797 484 877
22.76 6.58 57 1207 318 826
18.36 8.05 33 2051 546 1263
20.73 5.42 45 1440 399 950
14.2 6.19 38 1805 373 843
20.57 6.19 56 2893 325 777
15.51 6.68 40 1995 427 907
20.99 3.07 45 5372 397 998
18.48 8.85 39 3768 464 1028
21.01 7.34 55 2585 328 743
22.91 6.37 62 1197 321 767
17.88 7.5 26 2836 623 1540
17.43 7.56 39 1706 410 926
15.65 6.23 38 1718 422 927
21.78 5.92 48 1532 402 946
21 5.59 35 1845 558 1351
15.95 6.69 40 1828 386 970
22.09 5.77 51 1419 410 974
24.62 6.7 74 1942 287 661
18.47 6.46 39 1726 474 1067
21.43 6.47 80 912 264 575
16.95 6.37 46 1276 380 830
20.49 6.34 55 2752 316 759
17.73 6.87 55 1451 339 727
20.64 6.91 65 1100 295 807
18.9 7 41 1526 416 1031
21.1 6.42 49 3092 371 860
21.46 5.67 51 1347 400 924
21.17 6.64 53 1225 354 850
20.29 6.13 46 1491 446 968
20.33 7.8 66 1044 299 659
15.49 6.57 24 2812 564 1357
18.65 4.01 43 1627 452 911
16.54 6.77 42 1547 400 816
21.03 5.73 47 1509 417 928
17.58 5.94 64 1162 228 575
17.28 4.66 36 1888 437 1006
19.95 7.28 51 1346 341 821
18.95 6.28 43 1674 378 915
13.94 6.6 32 2001 394 904
15.58 8.78 13 6845 643 2487
17.98 6.81 16 4661 639 2348
16.68 8.35 15 5176 780 2487
16.22 8.47 8 9165 1105 4242
19.38 9.09 14 5194 912 3088
20.59 6.71 14 5811 847 3078
18.6 7.61 20 3855 678 2106
18.42 7.57 13 5155 704 2921
16.73 8.21 19 3622 631 2000
17.88 6.76 12 7285 783 3076
16.54 8.21 13 5543 855 2863
18.85 7.75 9 7733 1045 4318
18.93 8.61 16 4972 771 2654
10.62 5.89 5 12912 1070 4390
15.62 6.76 11 6589 916 3185
22.67 6.93 17 5852 630 2763
15.07 8.82 14 5511 676 2410
