"V1" "V2" "V3" "v4" "V5" "V6"
17.36 2.04 20 3252 541 2006
15.81 2.77 29 2561 395 1178
16.83 2.47 28 3064 434 1391
13.18 2.75 15 4324 561 1882
16.78 2.48 24 3165 523 1617
18.27 2.37 39 4434 356 1045
14.91 2.43 31 2435 402 1266
15.4 3 17 9491 634 1859
18.9 3.05 19 8340 602 1973
16.56 1.77 25 2834 516 1428
20.41 1.73 27 2149 501 1681
19.58 1.56 26 2806 529 1638
17.26 3.22 22 4096 595 1844
18.28 2.48 23 3125 493 1732
19.29 1.79 21 7486 598 1847
20.98 2.92 38 2042 367 1204
11.04 3.24 15 5352 622 1817
17.31 1.75 26 5735 415 1252
20.32 2.57 38 2190 360 1131
13.76 2.68 23 3290 461 1264
20.5 1.91 26 2642 552 1690
11.15 2.01 16 4166 476 1475
13.82 2.01 7 12128 1471 4158
17.09 1.78 21 3649 613 1715
9.98 2.19 6 12190 815 3512
14.78 6.31 20 3486 412 1530
18.42 8.14 33 2745 340 1163
17.56 4.41 18 3910 491 2034
13.93 5.95 15 4644 520 1936
13.19 4.29 25 3408 312 1125
12.76 7.36 14 5644 552 1949
13.01 7.76 16 5209 413 1738
6.99 6.09 7 8691 431 2135
20.49 7.25 35 2949 341 1247
6.8 4.83 17 2926 239 849
15.4 6.04 29 3246 301 1129
17.48 6.19 35 2659 311 1141
12.5 6.91 23 7174 339 1128
20.36 7.89 31 4941 375 1354
13.34 5.82 28 3019 295 1015
19.68 6.67 26 2841 429 1607
14.62 6.77 16 5036 541 1951
17.85 4 28 2659 440 1388
8.25 3.67 11 7309 367 1631
19.97 6.11 28 5494 426 1520
19.97 4.26 25 2998 456 1738
21.52 4.48 34 2352 368 1373
12.65 4.24 20 3861 376 1322
17.27 3.96 32 2829 365 1217
16.74 4.8 18 8683 474 1789
12.16 3.35 17 3625 393 1494
19.75 4.85 28 3375 426 1472
12.95 5.23 10 6996 654 2686
19.74 5.42 30 3030 380 1382
17.2 4.78 23 7049 433 1526
16.64 8.46 26 2845 367 1326
14.57 5.6 23 3154 396 1310
21.08 3.62 20 3915 545 2183
19.12 3.45 15 4604 610 2659
23.26 4.52 23 3470 584 2319
22.11 3.08 21 3331 489 2194
20.01 6.02 22 3657 567 2267
24.01 3.27 25 3473 478 2001
20.16 2.57 15 10680 734 2823
20.79 4.39 12 5570 788 3704
15.07 5.16 13 5621 661 2668
19.5 2.3 13 6092 670 3209
20.68 4.96 13 5331 846 3615
21.77 3.64 15 5772 660 3106
19.25 4.89 16 5381 731 2936
22.73 3.9 16 4766 660 3039
24.42 5.34 9 17733 1241 5764
16.59 3.84 8 8715 940 4488
19.72 4.87 16 4759 675 2857
20.78 3.38 11 7647 895 4020
18.64 5.91 14 5190 756 3098
20.29 3.03 11 7004 858 3921
21.18 3.92 14 5683 780 3390
21.22 2.86 13 6051 777 3466
17.98 4.41 17 3748 555 2356
18.09 3.14 12 6455 792 3451
22.25 5.71 14 5764 806 3600
19.94 3.31 15 10852 701 2890
19.04 3.39 21 3626 520 2067
22.82 2.66 16 9930 674 2777
20.04 5.06 19 4298 642 2497
19.04 3.25 13 5243 723 3114
19.71 4.19 16 9480 646 2703
20.16 2.99 15 5824 745 3234
19.74 3.66 17 4606 650 2557
22.53 2.85 18 8860 547 2371
21.96 4.07 22 3736 553 2254
19.41 3.32 13 6194 694 3428
20.82 4.68 19 8485 535 2291
18.22 3.2 10 15444 747 3691
19.41 3.32 15 4828 727 2721
17.65 3.29 15 4804 611 2458
21.83 5.58 17 5008 629 2684
15.99 3.18 14 5511 689 2825
21.84 4.56 11 14296 856 3577
23.44 4.48 19 4181 600 2568
17.88 3.86 17 3794 562 2211
17.94 3.92 19 4137 470 1956
24.08 4.94 24 3327 497 2079
21.51 3.12 16 4920 669 2786
10.31 6.93 6 12780 833 3571
22.64 6.45 19 4554 478 2489
20.87 4.49 18 3917 792 2594
23.33 7.31 19 4083 572 2570
22.96 8.8 17 4683 819 3009
19.07 3.53 10 8232 763 3984
19.73 5.7 14 5511 864 3509
23.66 3.15 14 5824 634 3491
12.89 4.97 6 24140 952 4133
22.3 5.25 15 4600 677 3070
23.69 5.32 7 11468 1610 7627
18.24 5.53 12 7085 597 3135
24.65 6.45 15 5660 834 3690
17.2 3.63 9 6947 851 3941
17.13 7.52 11 5918 830 3494
12.39 5.72 8 9435 566 3210
21.77 7.59 12 7510 880 4064
28.95 5.85 21 4563 632 2858
21.84 7.96 13 5658 866 3761
14.43 6.61 9 8553 730 3324
21.15 5 12 5570 951 3969
16.92 6.23 8 8782 1009 4410
22.11 3.95 21 3891 613 2376
18.91 7.57 13 5908 658 3041
24.67 8.76 17 3960 803 3268
22.26 5.39 18 4480 612 2583
18.49 5.9 16 5261 656 2605
21.31 6.94 16 4770 625 2787
20.25 6.35 18 4120 632 2533
20.83 4.98 13 6369 725 3359
20.79 6.5 17 4359 697 2754
18.38 2.94 26 2855 331 1478
22 8.84 15 4972 820 3226
26.37 4.93 16 4819 751 3442
19.5 6.92 21 3709 538 2039
17.83 4.98 8 9975 1034 4766
18.55 9.17 14 4658 689 2911
27.79 4.13 20 3657 662 2971
23.1 8.99 21 4040 579 2326
19.58 4.02 15 4888 599 2794
19.9 6.65 16 4830 679 2614
20.59 5.37 16 4215 661 2704
19.79 8.12 14 5858 810 2939
18.6 6.13 13 5977 790 3044
19.35 6.8 17 9547 639 2581
16.88 7.27 7 21651 1098 4446
22.31 5.3 20 3885 603 2318
21.1 5.13 16 5227 763 2981
17.87 6.2 11 13554 771 3011
23.32 7.8 34 2299 518 1466
22.13 8.14 22 2907 633 2131
23.37 6.14 39 1977 493 1483
23.17 8.36 25 2957 563 1962
22.06 5.22 27 5267 587 1767
23.38 7.18 27 2511 629 1835
24.93 7.64 32 2385 601 1801
23.4 6.6 28 2428 553 1781
22.78 6.93 36 1787 508 1517
22.86 7.08 38 2016 401 1283
22.05 8.77 32 2278 481 1578
26.46 5.94 35 2150 480 1611
23.49 7.98 33 2265 561 1672
23.52 6.79 29 2054 542 1730
24.08 7.89 37 3981 481 1454
15.53 6.2 18 3537 453 1854
22 7.42 30 2296 514 1681
29.92 7.44 37 2340 482 1737
22.96 7.71 30 2300 498 1755
24.63 5.07 42 1681 392 1259
23.27 7.22 37 1842 531 1426
23.03 7.56 35 1968 486 1413
22.86 7.14 31 2311 476 1675
22.78 6.62 40 1809 392 1224
26.98 4.44 32 2177 566 1908
24.32 8.42 39 1691 433 1339
24.59 6.83 32 2154 557 1739
23.9 7 36 1932 550 1414
23.05 7.6 32 2259 497 1628
24.75 8.36 36 1858 479 1462
23.75 8.97 45 1484 410 1195
24.78 5.8 46 1563 376 1159
24.36 6.28 34 2162 489 1592
24.29 7.26 45 1467 420 1160
23.17 7.91 44 1653 415 1170
22.5 6.35 28 2477 617 1748
20.26 5.32 25 2578 568 1799
26.68 7.47 48 1335 441 1211
26.03 6.69 39 1805 431 1418
21.84 8.26 31 2127 501 1532
22.43 7.56 36 1955 447 1317
24.65 6.14 34 1945 491 1533
22.8 7.57 28 2657 527 1714
22.68 6.06 39 1738 441 1225
23.25 6.02 31 2305 524 1584
22.47 7.01 35 2002 494 1356
22.67 6.83 32 2169 518 1512
23.42 7.67 28 2434 584 1786
22.46 6.43 35 2009 454 1371
18.18 4.32 22 3041 547 1743
11.92 4.84 13 5709 529 1958
16.54 5.04 41 1948 249 923
19.01 3.8 25 2635 555 1740
16.95 4.42 27 2798 489 1470
19.25 4.68 33 2125 510 1372
19.83 5.68 35 2205 453 1323
17.63 5.26 46 1580 355 912
20.44 5.79 28 2704 561 1699
18.55 4.35 27 2336 541 1596
15.98 4.63 32 2304 395 1153
17.08 4.44 36 2002 422 1094
18.13 3.86 38 1852 389 1102
19.26 3.87 32 2293 453 1391
18.89 5.02 26 2705 558 1678
21.03 3.94 36 1993 458 1350
20.67 3.39 26 2811 626 1783
21.32 4.3 38 2000 426 1312
21.97 4.1 30 5126 562 1546
18.67 2.97 22 3049 607 1790
20.12 4.24 21 3809 677 2069
17.12 4.19 19 7784 607 1845
19.61 4.25 26 3381 428 1591
20.12 4.33 27 2409 499 1573
20.18 4.91 25 2779 606 1704
17.9 4.68 30 2496 472 1260
18.68 5.35 31 2270 450 1270
19.55 4.93 39 1875 352 1058
17.99 4.88 27 2949 469 1407
19.01 4.85 27 2751 478 1486
23.82 6.91 28 2456 549 1818
19.04 5.56 29 2141 502 1502
16.18 4.92 24 3205 515 1441
20.94 8.52 36 2202 483 1333
18.19 4.8 23 2974 566 1745
18.03 7.82 34 1832 475 1240
21.94 6.08 22 3447 580 2128
20.34 8.43 34 2014 499 1410
19.61 7.18 18 4263 692 2323
19.54 8.83 24 3182 611 1899
22.07 6.3 26 2755 523 1810
19.7 6.68 26 2709 590 1766
18.76 6.06 28 3011 446 1430
19.27 7.28 36 2145 356 1248
14.07 5.51 30 2276 203 997
15.3 7.8 26 2418 528 1367
16.6 5.92 24 3637 481 1548
22.92 6.55 34 2096 534 1569
20.81 6.24 19 7892 634 2228
18.41 7.51 26 2635 620 1633
19.89 4.83 21 3909 635 2073
20.18 6.23 26 3143 582 1789
17.7 4.77 32 2321 433 1241
20.69 5.07 30 2076 522 1593
18.62 5.65 24 6245 498 1637
15.76 7.6 14 4847 802 2599
21.95 6.25 30 2442 544 1568
20.89 10.12 31 2719 555 1557
22.26 4.8 24 3277 631 1985
18.16 5.83 26 2762 540 1614
18.88 6.41 26 2428 522 1562
17.58 7.85 25 2657 528 1570
19.96 6.25 35 2028 454 1228
20.48 5.42 36 2348 302 1264
21.39 4.68 24 2930 652 1941
16.42 8.71 23 2734 499 1585
18.51 4.69 29 2456 472 1393
19 6.86 24 3090 506 1687
21.49 6.76 21 4009 641 2155
18.57 6.68 24 2865 506 1632
18 6.67 26 2751 493 1460
22.2 7.99 26 3035 560 1802
18.93 6.74 26 2298 518 1537
20.49 6.87 31 2452 491 1396
20.46 6.99 33 2342 461 1309
15.43 5.89 25 2606 421 1332
20.85 8.21 29 2607 516 1517
19.63 3.62 31 2295 443 1313
17.13 4.88 23 3545 519 1553
16.9 3.08 34 2396 351 1211
17.28 3.3 19 3530 606 1896
18.68 3.8 21 7403 597 1927
18.65 3.32 29 2915 453 1373
17.88 4.75 28 2683 500 1469
19.63 3.52 33 4511 404 1242
18.41 3.18 33 1971 416 1284
17.28 5.06 27 3047 468 1368
19.15 4.47 35 1925 415 1244
14.37 2.66 22 3464 480 1399
19.61 3.48 36 2197 400 1233
18.89 4.53 23 2870 571 1756
19.07 3.51 22 3483 628 1961
19.06 3.21 27 2864 548 1502
16.34 4.35 33 2005 379 1148
15.29 3.3 29 2158 440 1123
16.06 3.21 24 3292 556 1560
18.04 4.76 28 2927 468 1371
16.64 3.76 25 3029 463 1483
16.11 3.65 24 2942 544 1426
17.72 3.66 34 2155 408 1162
18.05 3.37 26 2813 511 1473
17.97 3.33 30 2210 450 1364
17.84 4.79 32 2398 430 1185
18.78 4.56 27 2949 532 1586
18.25 2.84 32 2340 446 1212
17.59 3.46 31 2338 468 1294
16.4 4.42 33 2036 383 1056
14.9 3.56 22 3082 516 1545
15.22 3.23 37 2264 229 878
17.44 3.59 27 2578 480 1416
16.95 3.82 21 3609 504 1724
18.21 4.51 25 3055 575 1585
16.23 3.55 21 3546 523 1674
18.41 3.82 27 2920 521 1486
15.94 2.79 21 3177 502 1647
17.66 2.55 27 2349 487 1379
18.87 4.44 31 2671 453 1272
14.64 2.85 24 2880 449 1275
16.88 4.3 30 2682 315 1175
15.56 3.22 26 2788 433 1249
17.48 4.43 42 1910 307 888
16.8 3.4 27 5842 438 1260
16.63 4.63 30 2328 394 1148
19.21 3.27 28 2612 475 1422
17.67 3.74 22 3365 529 1663
15.54 4.66 9 10193 777 3582
18.19 4.61 13 6471 758 2927
15.68 5 16 5160 559 2197
14.83 4.79 7 9548 1121 4432
19.49 5.43 9 8760 1142 4828
18.44 4.31 9 9067 1029 4284
13.72 7.89 12 6455 741 3423
16.62 4.49 11 7609 715 3117
16.22 7.77 13 6268 740 2832
18.48 6.16 30 2710 292 1272
14.72 6.28 11 7298 715 3011
14.57 4.31 13 6208 538 2313
15.36 8.1 12 6435 692 2875
8.37 5.82 10 6222 388 1728
5.78 4.61 7 10123 452 1856
17.69 4.34 11 8340 687 3331
20.44 8.04 13 6041 822 3525
14.94 6.85 14 5991 542 2210
15.7 7.82 15 5900 581 2345
16.92 3.53 12 6540 708 2920
14.75 7.25 11 7396 792 3023
14.42 5.8 14 5023 511 2149
14.26 9.58 15 5248 519 2146
14.28 4.9 11 7865 660 2708
13.37 5.47 13 6175 565 2314
16.33 5.96 9 8193 913 3787
15.71 4.72 10 6294 874 3534
15.33 4.35 15 5024 516 2137
14.99 8.47 10 8550 863 3374
14.83 4.39 11 6813 640 2826
14.01 6.99 11 6387 768 2867
15.93 6.14 18 4730 483 1852
15.6 7.18 9 8920 1005 3822
14.91 4.21 10 7692 791 3114
16.66 5.15 15 5508 689 2436
16.69 4.4 8 10207 1120 4446
14.04 5.15 7 10303 1106 4407
14.35 4.09 9 7553 748 3413
16.6 7.09 14 5807 697 2509
15.91 4.62 12 5655 760 2789
15.55 6.76 6 14180 1490 5451
17.59 4.5 15 5696 691 2671
16.95 6.44 17 9579 525 1901
15.63 6.03 10 7500 839 3275
16.76 4.5 15 4644 637 2338
13.56 6.25 12 7425 723 2725
16.4 4.81 10 14124 686 2958
13.28 4.63 10 8142 638 2755
17.83 5.3 39 1852 384 946
18.04 3.88 43 1553 369 874
17.63 4.74 44 1477 398 919
18.42 4.81 33 2382 430 1163
16.33 7.01 52 1528 331 719
19.53 5.62 39 1668 414 1045
16.93 3.92 71 767 269 549
19.83 6.85 62 1044 340 737
17.32 3.72 44 1688 360 843
18.95 4.03 62 1313 327 696
18.37 4.67 50 1469 325 2230
14.57 5.99 49 2972 291 673
19.06 4.87 33 2175 450 1236
19.83 6.5 54 1381 333 832
17.67 5.18 46 1488 342 874
15.11 4.32 60 1180 278 583
18.25 3.78 59 1160 298 658
17.28 5.9 53 1280 330 759
17.74 3.46 59 1219 309 641
18.87 4.71 61 1042 306 692
18.64 5.14 45 1461 435 880
17.21 4.34 49 1653 326 783
15.83 3.62 49 1607 354 706
17.92 4.21 36 1673 412 1133
17.7 3.45 45 3165 404 814
17.63 6.66 42 1653 396 957
17.17 3.29 50 1446 335 730
14.87 4.62 33 2573 423 1029
18.35 3.21 49 1440 363 796
15.42 4.63 36 1978 429 1044
17.94 5.81 51 1344 326 751
17.74 6.22 40 3774 381 907
16.71 4.91 44 1732 375 812
19.17 4.09 61 1160 317 684
15.89 4.86 41 1550 383 839
17.67 6.29 47 1245 361 818
19.19 3.57 54 1230 327 770
19.24 4.24 45 1543 402 898
18.52 5.05 53 1447 344 731
19.46 4.01 54 1324 337 753
16.55 5.11 36 2043 397 971
22.04 4.55 55 2733 361 829
14.34 4.84 34 1862 384 877
19.51 3.69 45 3687 433 932
14.83 4.96 35 1889 395 838
17.52 5.07 47 1340 366 772
18.89 5.99 46 1569 363 851
16.56 2.48 35 2131 329 997
18.05 4.74 25 2851 470 1542
20.26 2.48 36 2228 389 1226
17.58 4.12 31 2286 416 1212
21.23 2.97 37 1841 366 1224
18.7 5.11 25 3204 492 1596
20.62 3.03 42 1523 392 1145
19.4 2.76 29 2450 413 1426
16.76 5.74 44 1820 342 887
18.43 4.52 29 2611 384 1356
19.19 2.5 35 1757 414 1276
22.73 2.59 34 2132 401 1422
20.18 4.05 43 1910 377 1091
19.28 3.32 39 1868 345 1052
17.2 3.94 34 1922 370 1177
16.79 3.68 35 2093 335 1021
20.26 3.93 45 1628 340 1055
18 3.88 40 1885 332 988
19.54 4.44 26 2723 527 1732
19.93 3.56 39 1846 339 1102
19.72 3.98 33 2222 413 1379
18.04 3.71 39 1895 326 1008
20.37 5.46 32 2561 467 1470
18.16 3.64 34 2206 366 1144
17.5 2.95 33 1904 404 1225
18.92 4.2 22 3324 529 1841
20.75 3.92 40 2014 399 1198
19.57 3.36 40 1822 342 1051
18.09 3.66 25 2568 500 1616
19.31 4.04 44 1853 323 961
20.32 4.08 40 1905 382 1130
20.7 2.73 47 3194 307 943
16.73 3.52 33 2085 382 1127
19.78 3.13 41 1806 337 1052
12.87 4.54 23 3756 406 1195
20.31 4.06 33 2140 428 1296
12.74 2.42 22 3144 430 1223
19.08 4.22 35 2246 380 1151
20 4.36 32 2332 444 1318
13.87 2.77 24 2842 406 1221
15.98 2.82 35 2174 352 964
20.04 3.05 34 2102 427 1244
16.3 3.65 24 3510 482 1491
16.35 4.71 30 5124 364 1101
21.03 5.04 42 1890 421 1069
16.99 4.06 34 2141 341 1059
18.4 2.49 26 3018 491 1644
19.81 3.68 23 3313 537 1825
18.05 5.32 30 2708 430 1399
21.21 3.46 40 1842 353 1122
17.98 4.35 26 2564 501 1599
16.29 4 25 2906 431 1390
19.41 4 36 2228 439 1248
20.17 3.5 53 1433 253 812
18.01 3.59 18 3803 672 2291
20.01 4.19 32 2254 403 1333
18.31 4.29 32 2319 428 1312
18.21 4.06 44 1608 310 883
16.94 2.3 31 2261 408 1252
18.91 4.3 34 2462 375 1196
18.48 4.68 30 2440 424 1412
15.67 3.73 37 1751 324 911
17.9 3.91 26 2601 467 1578
19.74 3.95 39 1948 359 1087
20.41 3.85 56 1380 269 828
18.35 4.31 32 2254 466 1232
18.91 3.22 33 2167 410 1300
17.73 4.37 43 1905 311 902
19.67 3.78 61 1259 268 731
22.2 4.23 48 3177 344 977
17.87 3.65 48 1376 292 844
19.65 3.92 46 1521 294 909
18.97 4.72 38 1873 410 1131
17.83 4.24 29 2435 443 1306
16.25 3.38 46 1852 260 819
17.17 3.72 50 1384 303 737
17.87 3.66 35 4246 362 1107
20.65 5.31 50 1468 343 887
16.26 4.78 39 1715 348 927
19.06 2.62 30 2426 519 1382
21.77 3.47 35 2198 464 1381
19.09 3.71 37 2119 376 1140
16.31 5.67 27 2713 485 1282
17.66 4.7 30 5026 467 1259
15.39 4.05 31 2541 505 1065
18.13 3.76 29 2232 432 1322
17.7 3.75 38 1918 390 982
16.05 4.16 36 1958 340 939
19.45 3.26 35 2107 413 1174
18.69 3.92 43 1718 391 918
16.93 4.5 40 1735 366 904
18.03 4.08 45 1779 347 856
14.71 3.55 19 2905 543 1654
21.67 4.65 38 1907 363 1181
16.82 5.45 27 2871 389 1300
16.98 6.76 30 2670 353 1298
21.86 5.65 37 1892 358 1232
17.97 5.77 26 2804 442 1585
20.33 5.05 34 2178 357 1246
18.02 3.65 28 2533 380 1481
15.39 7.05 31 2545 319 1058
20.87 5.58 37 2194 372 1298
21.39 2.82 31 2237 427 1476
18.25 5.51 37 1810 297 1119
19.62 5.52 27 2862 444 1554
19.43 4.15 40 1938 306 1101
18.92 6.15 29 2659 386 1396
17.42 6.05 46 1536 254 859
15.53 3.61 35 2023 321 944
19.69 6.53 41 1778 305 1118
20.21 5.82 40 2052 308 1076
18.47 4.74 41 1793 304 1049
19.52 4.22 40 1932 292 1038
19.07 6 32 2526 359 1334
21.8 5.79 30 2358 432 1617
18.14 6.21 39 1952 302 1072
16.27 4.23 31 2441 344 1197
20.26 5.97 23 3230 522 2012
16.68 5.61 28 2531 413 1358
18.75 4.55 36 2070 348 1144
20.04 5.67 39 1888 345 1118
18.85 4.18 42 1859 320 977
17.59 4.06 34 1969 335 1082
17.16 6.02 29 2613 379 1235
21.4 4.09 32 2340 368 1397
18.34 5.38 30 2572 379 1276
18.15 5.74 33 2551 363 1147
18.6 3.49 33 4824 425 1376
21.34 4.99 33 1904 368 1142
18.64 6.07 31 2493 360 1246
19.67 3.56 34 2446 398 1273
18.29 6.72 34 4489 337 1040
13.57 5.98 22 2997 461 1300
15.35 5.01 24 3355 425 1368
14.32 4.43 24 3477 407 1276
13.65 6.41 22 3267 408 1324
12.78 4.58 15 5280 496 1818
13.66 6.48 23 3423 384 1270
16.54 6.68 22 3406 498 1604
15.17 4.74 19 4102 548 1703
14.77 4.6 16 5179 618 1996
13.36 6.43 22 7074 452 1265
13.96 5.07 18 3987 572 1647
15.11 6.79 24 3277 487 1354
14.92 4.71 30 2526 373 1072
12.81 6.72 21 3460 474 1314
17.24 6.81 22 3469 569 1714
14.99 4.71 17 4553 586 1887
14.72 6.5 25 2731 428 1265
18.92 6.87 32 2490 484 1272
15.9 4.42 24 3042 522 1446
19.06 6.88 24 3147 550 1731
12.68 3.68 16 4755 589 1669
13.93 3.53 28 2871 390 1048
9.5 3.86 18 4360 466 1116
12.76 4.06 25 2954 420 1080
10.33 4.48 21 3800 407 1039
9.71 4.41 16 3892 474 1284
11.86 3.81 31 3029 355 849
13.96 3.94 33 4682 365 856
11.47 5.33 28 2824 335 869
19.34 5.52 52 1634 244 786
18.6 4.8 38 1958 304 1045
15.5 7.02 30 2550 237 1181
16.93 4.79 21 3343 425 1722
19.52 5.04 22 3109 460 2031
21.4 4.93 39 2163 315 1172
22.87 4.81 31 2704 442 1730
19.04 5.81 28 2571 347 1451
13.71 6.41 38 1784 260 849
18.72 5.08 36 2218 222 1132
22.32 5.75 43 1801 343 1215
22.63 4.8 38 2218 284 1326
18.42 4.12 43 1789 294 1000
23.37 4.56 39 4117 290 1224
15.93 5.28 39 1894 333 1118
17.4 5.39 25 2998 311 1479
23.7 5.12 35 4334 396 1392
20.1 3.45 53 1396 234 807
24.12 4.93 34 2264 436 1649
13.04 4.03 30 2330 252 925
16.98 5.31 29 2354 375 1354
23.44 5.04 41 1968 321 1228
18.07 4.78 22 3755 611 2335
11.99 4.78 28 2595 252 946
25.61 5.31 41 3781 324 1205
18.9 4.84 50 1508 239 846
15.62 5.17 38 2048 287 949
18.65 4.55 44 1711 256 908
22.25 4.04 28 2447 478 1834
21.04 4.91 44 1916 308 1069
20.33 5.79 40 1891 342 1175
20.42 3.95 46 3489 256 911
17.31 5.87 37 1810 293 1047
17.33 5.03 31 2443 359 1270
22.02 5.08 38 2206 367 1381
21.51 4.66 37 4325 344 1255
24.72 5.44 53 2941 274 971
22.82 3.77 31 5166 390 1547
16.45 4.92 34 2291 311 1094
18.84 5.25 33 4796 305 1126
21.77 6.43 45 1692 289 1021
17.47 5.08 49 1341 232 754
22.97 4.82 29 2913 431 1673
17.67 4.73 33 2020 321 1131
21.83 4.92 47 1668 282 981
15.01 6.96 33 2180 297 960
21.05 4.44 48 1630 251 926
16.76 5.49 34 1837 284 1040
14.02 4.82 20 7653 391 1414
19.48 2.68 17 4740 539 2396
22.66 3.83 20 3621 682 2541
17.03 5.81 12 6490 676 2971
17.11 5.87 20 3792 493 1909
15.79 4.23 13 5829 563 2542
19.49 5.59 19 3786 608 2313
7 2.07 12 3820 248 1203
20.77 4.66 29 2590 442 1624
18.42 5.83 17 6988 537 2235
19.61 4.84 24 6920 541 1967
19.04 4.04 14 5627 652 2805
18 4.74 28 2372 411 1629
20.33 2.49 20 4038 469 2098
20.15 3.96 21 3929 543 2156
15.85 4.32 17 4627 497 1933
19.53 4.6 25 2861 553 1748
11.64 4.53 10 5532 568 2413
16.61 4.33 23 2875 442 1619
14.49 2.63 10 8832 722 3000
22.85 4.37 24 3227 523 2144
17.42 4.05 14 5871 590 2592
18.04 4.41 23 3357 468 1768
19.39 4.42 14 5944 682 2893
19.24 4.6 26 2868 442 1666
17.1 4.67 23 3605 411 1550
18.82 4.14 18 4113 601 2355
15.1 2.44 15 4588 483 2107
17.73 4.57 14 5203 758 2850
18.31 3.05 29 2779 342 1321
22.44 4.78 28 2786 519 1806
13.46 4.56 14 5828 482 2009
16.03 6.47 24 2930 434 1470
14.69 2.41 14 5828 576 2193
20.48 4.45 23 3524 522 1954
16.61 3.59 20 3738 469 1769
15 4.01 15 3876 608 2193
17.12 3.35 11 6856 824 3328
20.91 2.72 24 3897 472 1846
15.45 5.53 11 6376 797 2951
15.83 2.55 20 3372 458 1663
22.65 3.07 24 3925 479 1965
18.89 3.74 20 3870 525 1957
10.57 3.78 13 4537 451 1703
20.57 3.17 20 4539 540 2157
18.08 5.19 20 3882 494 1876
15.19 3.82 18 4213 484 1751
20.88 5.11 22 3856 489 2008
17.84 4.71 29 2688 342 1297
20.27 3.83 27 2591 395 1604
20.21 2.7 23 2966 575 2010
20.6 4.63 27 3138 430 1631
19.92 5.92 36 2060 394 1265
21.51 2.99 28 2505 423 1642
19.24 4.54 38 1862 376 1187
21.96 3.86 29 2292 397 1618
19.73 5.48 40 1881 384 1161
20.55 5.8 22 3802 460 1993
13.31 2.32 26 2564 386 1196
21.62 3.66 31 2626 381 1489
21.34 5.43 36 2285 429 1380
19.72 3.99 30 2322 396 1402
18.27 5.13 28 2516 453 1522
20.96 4.74 33 2447 355 1352
19.15 5.41 23 2877 580 1937
17.27 5.43 30 2374 360 1222
19.45 4.06 29 2619 456 1560
20.83 3.9 23 3321 555 1924
17.91 5.43 47 1509 300 880
15.63 6 25 2678 384 1348
19.02 4.63 29 2537 440 1511
18.08 4.37 29 2849 401 1343
19.58 2.63 29 2454 453 1561
20.2 3.21 34 1989 404 1320
19.21 5.13 26 2982 484 1708
15.89 4.96 29 2712 351 1171
21.19 5.74 30 2228 471 1633
18.28 4.98 28 2623 398 1398
18.22 2.69 23 3342 575 1832
20.32 3.29 34 2363 382 1285
17.93 6.14 24 3422 462 1668
21.24 4 30 2402 442 1525
16.94 4.73 23 3389 476 1802
16.88 3.34 19 3729 532 1930
24.35 4.59 26 6044 516 1937
20.51 3.8 21 3583 607 2126
15.1 4.12 21 3123 464 1536
23.17 2.22 29 2808 491 1684
18.33 5.44 25 2770 461 1543
19.31 3.86 33 1998 394 1236
21.24 4.61 20 4110 642 2241
20.81 3.64 34 2093 400 1292
21.78 3.02 45 1627 337 1022
21.63 3.69 43 1822 335 1062
17.92 4.55 28 2469 379 1350
19.84 4.58 32 2306 375 1308
18.68 2.95 29 2199 433 1335
21.57 7.11 30 2530 472 1497
18.38 7.16 28 2807 493 1369
16 7.12 28 5586 384 1250
19.36 5.01 32 2287 396 1263
17.17 7.02 28 2516 432 1410
15.75 6.9 23 3256 472 1466
19.41 7.46 27 2749 427 1537
17.99 6.13 25 3067 505 1631
16.42 7.48 20 3891 519 1757
13.93 7.05 24 2340 425 1315
16.93 7.24 29 2675 350 1249
20.9 4.91 30 3098 483 1579
21.13 5.09 37 1935 399 1215
16.24 7.06 23 3149 524 1645
17.23 6.79 26 2751 485 1411
18.12 4.9 27 2598 470 1562
18.85 6.78 29 2555 483 1383
16.32 6.71 24 3257 479 1521
18.39 6.96 21 3531 650 1861
18.52 6.98 39 2025 355 1117
17.99 6.94 22 3425 573 1780
19.69 4.65 36 4338 372 1182
20.08 4.69 31 5005 469 1343
14.74 6.79 25 2767 425 1345
16.61 6.79 27 2858 413 1310
20.45 4.92 43 1787 357 1085
19.05 6.52 34 2195 385 1231
19.28 6.22 29 2375 486 1515
18.53 4.86 28 5576 452 1365
18.28 8.66 47 1662 285 849
18.45 6.97 26 2769 545 1517
17.94 4.67 54 1383 278 736
20.31 6.52 30 2486 472 1466
19.18 7.18 58 2697 259 709
18.98 8.38 19 3745 653 2164
19.7 6.88 62 1175 233 666
19.16 4.84 20 3711 606 2078
15.95 6.8 28 5775 381 1190
19.4 6.56 37 1975 363 1095
17.18 6.75 39 1902 307 921
17.58 4.9 35 2064 332 1049
16.44 8.51 26 2972 437 1313
17.83 6.42 36 1857 342 1029
21.9 7.03 39 1997 403 1162
19.04 5.13 32 2295 458 1292
16.47 8.26 26 6028 440 1238
18.25 3.53 24 2632 530 1604
16.52 6.07 12 6305 743 2941
16.88 4.77 18 4440 622 2145
18.42 2.66 19 4004 642 2072
17.17 4.87 14 4856 871 2808
17.8 5.26 24 3400 519 1581
10.8 6.83 18 4810 499 1589
18.26 5 21 2660 574 1856
